step,row,col,latitude,longitude,cost
0,217,335,-85.59765625409459,26.796875001281833,0.2808184325695038
1,216,336,-85.59375000409439,26.800781251282018,0.26345905661582947
2,215,337,-85.5898437540942,26.804687501282206,0.2223556488752365
3,214,338,-85.58593750409402,26.80859375128239,0.1967104822397232
4,213,339,-85.58203125409383,26.81250000128258,0.16993381083011627
5,212,340,-85.57812500409365,26.816406251282768,0.11279023438692093
6,211,341,-85.57421875409347,26.82031250128295,0.06514043360948563
7,210,342,-85.57031250409327,26.824218751283137,0.03610272333025932
8,209,343,-85.56640625409308,26.828125001283322,0.041285593062639236
9,208,344,-85.5625000040929,26.83203125128351,0.029291318729519844
10,207,345,-85.55859375409271,26.8359375012837,0.05965536832809448
11,206,346,-85.55468750409253,26.839843751283883,0.11876371502876282
12,205,347,-85.55078125409234,26.84375000128407,0.14934131503105164
13,204,348,-85.54687500409214,26.84765625128426,0.1278132051229477
14,203,349,-85.54296875409196,26.851562501284445,0.1263146549463272
15,202,350,-85.53906250409177,26.855468751284633,0.1800820529460907
16,201,351,-85.53515625409159,26.85937500128482,0.14181920886039734
17,200,352,-85.5312500040914,26.863281251285006,0.13230133056640625
18,199,353,-85.52734375409122,26.867187501285194,0.14173562824726105
19,198,354,-85.52343750409104,26.87109375128538,0.12195784598588943
20,197,355,-85.51953125409084,26.875000001285567,0.1056809052824974
21,196,356,-85.51562500409065,26.878906251285756,0.08076676726341248
22,195,357,-85.51171875409047,26.88281250128594,0.07463759183883667
23,194,358,-85.50781250409028,26.88671875128613,0.15141314268112183
24,193,359,-85.5039062540901,26.890625001286317,0.21719330549240112
25,192,360,-85.50000000408991,26.8945312512865,0.21921701729297638
26,191,361,-85.49609375408971,26.89843750128669,0.22730529308319092
27,190,362,-85.49218750408953,26.902343751286875,0.21902897953987122
28,189,363,-85.48828125408934,26.906250001287063,0.25731730461120605
29,188,364,-85.48437500408916,26.91015625128725,0.26448991894721985
30,187,365,-85.48046875408897,26.914062501287436,0.2598455548286438
31,186,366,-85.47656250408879,26.917968751287624,0.20737020671367645
32,185,367,-85.47265625408859,26.921875001287813,0.18499122560024261
33,184,368,-85.4687500040884,26.925781251287997,0.13629527390003204
34,183,369,-85.46484375408822,26.929687501288186,0.07337376475334167
35,182,370,-85.46093750408804,26.933593751288374,0.02628507651388645
36,181,371,-85.45703125408785,26.93750000128856,0.08853411674499512
37,180,371,-85.45312500408767,26.93750000128856,0.15563733875751495
38,179,371,-85.44921875408748,26.93750000128856,0.18008428812026978
39,178,371,-85.44531250408728,26.93750000128856,0.19394782185554504
40,177,371,-85.44140625408711,26.93750000128856,0.20651499927043915
41,176,371,-85.43750000408693,26.93750000128856,0.2581716477870941
42,175,371,-85.43359375408674,26.93750000128856,0.21979005634784698
43,174,371,-85.42968750408656,26.93750000128856,0.1778322011232376
44,173,371,-85.42578125408637,26.93750000128856,0.21019025146961212
45,172,371,-85.42187500408617,26.93750000128856,0.12250593304634094
46,171,372,-85.41796875408599,26.941406251288743,0.07638509571552277
47,170,372,-85.4140625040858,26.941406251288743,0.19885990023612976
48,169,372,-85.41015625408562,26.941406251288743,0.19477689266204834
49,168,372,-85.40625000408544,26.941406251288743,0.17386695742607117
50,167,372,-85.40234375408525,26.941406251288743,0.19014158844947815
51,166,372,-85.39843750408507,26.941406251288743,0.21867616474628448
52,165,372,-85.39453125408487,26.941406251288743,0.2290043830871582
53,164,372,-85.39062500408468,26.941406251288743,0.2350379377603531
54,163,372,-85.3867187540845,26.941406251288743,0.24965499341487885
55,162,372,-85.38281250408431,26.941406251288743,0.2218235284090042
56,161,372,-85.37890625408413,26.941406251288743,0.18450918793678284
57,160,372,-85.37500000408394,26.941406251288743,0.14088477194309235
58,159,373,-85.37109375408374,26.945312501288928,0.09299682825803757
59,158,373,-85.36718750408356,26.945312501288928,0.062242671847343445
60,157,373,-85.36328125408338,26.945312501288928,0.04096893221139908
61,156,374,-85.35937500408319,26.949218751289116,0.022937094792723656
62,155,374,-85.355468754083,26.949218751289116,0.007490475662052631
63,154,374,-85.35156250408282,26.949218751289116,0.022543564438819885
64,153,374,-85.34765625408262,26.949218751289116,0.03325970843434334
65,152,374,-85.34375000408244,26.949218751289116,0.04311095178127289
66,151,374,-85.33984375408225,26.949218751289116,0.0552092045545578
67,150,374,-85.33593750408207,26.949218751289116,0.08897764980792999
68,149,374,-85.33203125408188,26.949218751289116,0.12039310485124588
69,148,374,-85.3281250040817,26.949218751289116,0.14305157959461212
70,147,374,-85.32421875408151,26.949218751289116,0.14273963868618011
71,146,374,-85.32031250408131,26.949218751289116,0.6024183034896851
72,145,374,-85.31640625408113,26.949218751289116,0.6232085824012756
73,144,374,-85.31250000408095,26.949218751289116,0.6541377902030945
74,143,374,-85.30859375408076,26.949218751289116,0.6291981935501099
75,142,374,-85.30468750408058,26.949218751289116,0.6421271562576294
76,141,374,-85.30078125408039,26.949218751289116,0.6200670003890991
77,140,374,-85.29687500408019,26.949218751289116,0.5948110818862915
78,139,374,-85.29296875408001,26.949218751289116,0.6398568153381348
79,138,374,-85.28906250407982,26.949218751289116,0.6478918194770813
80,137,374,-85.28515625407964,26.949218751289116,0.6489618420600891
81,136,374,-85.28125000407945,26.949218751289116,0.6745223999023438
82,135,374,-85.27734375407927,26.949218751289116,0.6618890762329102
83,134,374,-85.27343750407907,26.949218751289116,0.6395601630210876
84,133,374,-85.26953125407888,26.949218751289116,0.6446225047111511
85,132,374,-85.2656250040787,26.949218751289116,0.62114018201828
86,131,374,-85.26171875407852,26.949218751289116,0.6280584931373596
87,130,374,-85.25781250407833,26.949218751289116,0.6201536059379578
88,129,374,-85.25390625407815,26.949218751289116,0.6492360234260559
89,128,374,-85.25000000407796,26.949218751289116,0.6295880675315857
90,127,374,-85.24609375407776,26.949218751289116,0.5850586295127869
